Claim Index,Actual Fraud,Predicted Fraud,Fraud Probability,Fraud Risk Score,Risk Category,Claim Amount,Investigation Priority Score,Investigation Priority Tier,Recommended Action,Actual Fraud Status,Predicted Fraud Status,Risk Rank
625,0,1,0.6751,67.51,High Risk,85250,55.56,High Priority,Manual Review,Legitimate,Flagged,1
251,1,1,0.7069,70.69,High Risk,80850,55.17,High Priority,Manual Review,Fraud,Flagged,2
540,0,1,0.6801,68.01,High Risk,83160,54.6,High Priority,Manual Review,Legitimate,Flagged,3
755,0,1,0.6178,61.78,High Risk,87900,52.43,High Priority,Manual Review,Legitimate,Flagged,4
914,0,1,0.7294,72.94,High Risk,72800,51.25,High Priority,Manual Review,Legitimate,Flagged,5
915,1,1,0.7131,71.31,High Risk,71190,49.0,High Priority,Manual Review,Fraud,Flagged,6
30,0,1,0.6452,64.52,High Risk,75600,47.08,High Priority,Manual Review,Legitimate,Flagged,7
817,1,1,0.6424,64.24,High Risk,74800,46.38,High Priority,Manual Review,Fraud,Flagged,8
166,1,1,0.664,66.4,High Risk,71280,45.68,High Priority,Manual Review,Fraud,Flagged,9
927,1,1,0.6283,62.83,High Risk,74690,45.3,High Priority,Manual Review,Fraud,Flagged,10
742,1,1,0.5538,55.38,High Risk,84500,45.18,High Priority,Manual Review,Fraud,Flagged,11
669,0,1,0.6934,69.34,High Risk,66240,44.33,High Priority,Manual Review,Legitimate,Flagged,12
587,1,1,0.6299,62.99,High Risk,72400,44.02,High Priority,Manual Review,Fraud,Flagged,13
710,1,1,0.6466,64.66,High Risk,70200,43.81,High Priority,Manual Review,Fraud,Flagged,14
68,0,1,0.6624,66.24,High Risk,68530,43.81,High Priority,Manual Review,Legitimate,Flagged,14
731,0,1,0.6798,67.98,High Risk,66660,43.73,High Priority,Manual Review,Legitimate,Flagged,15
106,1,1,0.554,55.4,High Risk,79800,42.68,High Priority,Manual Review,Fraud,Flagged,16
349,1,1,0.5957,59.57,High Risk,74200,42.67,High Priority,Manual Review,Fraud,Flagged,17
494,1,1,0.6854,68.54,High Risk,64100,42.4,High Priority,Manual Review,Fraud,Flagged,18
128,1,1,0.6867,68.67,High Risk,63840,42.31,High Priority,Manual Review,Fraud,Flagged,19
386,0,1,0.6529,65.29,High Risk,66840,42.12,High Priority,Manual Review,Legitimate,Flagged,20
245,1,1,0.5767,57.67,High Risk,75400,41.97,High Priority,Manual Review,Fraud,Flagged,21
458,0,0,0.4148,41.48,Medium Risk,103560,41.48,High Priority,Additional Verification,Legitimate,Not Flagged,22
288,1,1,0.6399,63.99,High Risk,66780,41.24,High Priority,Manual Review,Fraud,Flagged,23
888,0,1,0.6922,69.22,High Risk,60600,40.48,High Priority,Manual Review,Legitimate,Flagged,24
56,0,1,0.743,74.3,High Risk,56430,40.45,High Priority,Manual Review,Legitimate,Flagged,25
880,1,1,0.6115,61.15,High Risk,67300,39.72,High Priority,Manual Review,Fraud,Flagged,26
60,1,1,0.5871,58.71,High Risk,69480,39.37,High Priority,Manual Review,Fraud,Flagged,27
262,1,1,0.5724,57.24,High Risk,70600,39.0,High Priority,Manual Review,Fraud,Flagged,28
661,0,1,0.6697,66.97,High Risk,59500,38.45,High Priority,Manual Review,Legitimate,Flagged,29
376,0,1,0.5917,59.17,High Risk,66200,37.8,High Priority,Manual Review,Legitimate,Flagged,30
261,1,1,0.6589,65.89,High Risk,59000,37.51,High Priority,Manual Review,Fraud,Flagged,31
183,1,0,0.4731,47.31,Medium Risk,81840,37.38,High Priority,Additional Verification,Fraud,Not Flagged,32
938,1,1,0.559,55.9,High Risk,68240,36.82,High Priority,Manual Review,Fraud,Flagged,33
853,0,0,0.4541,45.41,Medium Risk,83490,36.6,High Priority,Additional Verification,Legitimate,Not Flagged,34
498,1,1,0.5897,58.97,High Risk,63580,36.18,High Priority,Manual Review,Fraud,Flagged,35
283,1,1,0.6198,61.98,High Risk,59900,35.82,High Priority,Manual Review,Fraud,Flagged,36
919,1,0,0.4863,48.63,Medium Risk,76010,35.68,High Priority,Additional Verification,Fraud,Not Flagged,37
561,1,0,0.4394,43.94,Medium Risk,84100,35.68,High Priority,Additional Verification,Fraud,Not Flagged,37
348,0,1,0.5398,53.98,High Risk,67650,35.24,High Priority,Manual Review,Legitimate,Flagged,38
278,1,1,0.5495,54.95,High Risk,64350,34.12,High Priority,Manual Review,Fraud,Flagged,39
977,1,1,0.6536,65.36,High Risk,53280,33.6,High Priority,Manual Review,Fraud,Flagged,40
466,0,1,0.5859,58.59,High Risk,58410,33.02,High Priority,Manual Review,Legitimate,Flagged,41
113,0,1,0.577,57.7,High Risk,57720,32.13,High Priority,Manual Review,Legitimate,Flagged,42
213,1,1,0.618,61.8,High Risk,53460,31.87,High Priority,Manual Review,Fraud,Flagged,43
895,1,1,0.5935,59.35,High Risk,55200,31.61,High Priority,Manual Review,Fraud,Flagged,44
640,0,0,0.3616,36.16,Medium Risk,89650,31.3,High Priority,Additional Verification,Legitimate,Not Flagged,45
301,0,0,0.3423,34.23,Medium Risk,93730,30.98,High Priority,Additional Verification,Legitimate,Not Flagged,46
748,0,1,0.6444,64.44,High Risk,49400,30.71,High Priority,Manual Review,Legitimate,Flagged,47
514,0,1,0.5234,52.34,High Risk,60600,30.61,High Priority,Manual Review,Legitimate,Flagged,48
181,0,0,0.3111,31.11,Medium Risk,100800,30.28,High Priority,Additional Verification,Legitimate,Not Flagged,49
535,1,1,0.5986,59.86,High Risk,52400,30.26,High Priority,Manual Review,Fraud,Flagged,50
15,1,0,0.4962,49.62,Medium Risk,63120,30.22,High Priority,Additional Verification,Fraud,Not Flagged,51
898,0,1,0.5267,52.67,High Risk,59200,30.09,High Priority,Manual Review,Legitimate,Flagged,52
150,0,0,0.3755,37.55,Medium Risk,82720,29.99,Medium Priority,Additional Verification,Legitimate,Not Flagged,53
934,0,1,0.5891,58.91,High Risk,52380,29.77,Medium Priority,Manual Review,Legitimate,Flagged,54
980,0,0,0.3635,36.35,Medium Risk,82170,28.83,Medium Priority,Additional Verification,Legitimate,Not Flagged,55
324,1,1,0.5914,59.14,High Risk,50400,28.75,Medium Priority,Manual Review,Fraud,Flagged,56
878,1,1,0.5471,54.71,High Risk,54400,28.71,Medium Priority,Manual Review,Fraud,Flagged,57
649,1,0,0.4971,49.71,Medium Risk,59400,28.49,Medium Priority,Additional Verification,Fraud,Not Flagged,58
19,0,0,0.4877,48.77,Medium Risk,60400,28.42,Medium Priority,Additional Verification,Legitimate,Not Flagged,59
521,0,0,0.3315,33.15,Medium Risk,88110,28.2,Medium Priority,Additional Verification,Legitimate,Not Flagged,60
851,1,1,0.6125,61.25,High Risk,46800,27.65,Medium Priority,Manual Review,Fraud,Flagged,61
421,0,0,0.3458,34.58,Medium Risk,81120,27.08,Medium Priority,Additional Verification,Legitimate,Not Flagged,62
973,1,1,0.5691,56.91,High Risk,49100,26.95,Medium Priority,Manual Review,Fraud,Flagged,63
363,1,1,0.6375,63.75,High Risk,42700,26.25,Medium Priority,Manual Review,Fraud,Flagged,64
151,0,1,0.5655,56.55,High Risk,48060,26.21,Medium Priority,Manual Review,Legitimate,Flagged,65
978,0,0,0.3177,31.77,Medium Risk,84590,25.94,Medium Priority,Additional Verification,Legitimate,Not Flagged,66
320,0,0,0.3309,33.09,Medium Risk,80520,25.72,Medium Priority,Additional Verification,Legitimate,Not Flagged,67
758,0,0,0.3218,32.18,Medium Risk,82060,25.49,Medium Priority,Additional Verification,Legitimate,Not Flagged,68
546,0,0,0.3398,33.98,Medium Risk,75460,24.75,Medium Priority,Additional Verification,Legitimate,Not Flagged,69
528,0,0,0.334,33.4,Medium Risk,75960,24.49,Medium Priority,Additional Verification,Legitimate,Not Flagged,70
863,0,0,0.3382,33.82,Medium Risk,74200,24.22,Medium Priority,Additional Verification,Legitimate,Not Flagged,71
611,0,0,0.3382,33.82,Medium Risk,74030,24.17,Medium Priority,Additional Verification,Legitimate,Not Flagged,72
729,1,0,0.494,49.4,Medium Risk,50300,23.97,Medium Priority,Additional Verification,Fraud,Not Flagged,73
982,1,0,0.4772,47.72,Medium Risk,51900,23.89,Medium Priority,Additional Verification,Fraud,Not Flagged,74
975,0,0,0.3684,36.84,Medium Risk,66550,23.66,Medium Priority,Additional Verification,Legitimate,Not Flagged,75
286,0,0,0.3804,38.04,Medium Risk,63910,23.46,Medium Priority,Additional Verification,Legitimate,Not Flagged,76
575,0,0,0.3416,34.16,Medium Risk,71100,23.44,Medium Priority,Additional Verification,Legitimate,Not Flagged,77
937,0,0,0.337,33.7,Medium Risk,71800,23.35,Medium Priority,Additional Verification,Legitimate,Not Flagged,78
