Threshold,Accuracy,Precision,Recall,F1 Score,Fraud Exposure Detected,Total Alerts,False Alerts,Fraud Exposure Capture Rate (%)
0.2,0.375,0.28160919540229884,1.0,0.43946188340807174,2998470,174,125,100.0
0.25,0.445,0.3037974683544304,0.9795918367346939,0.463768115942029,2921470,158,110,97.4320236654027
0.3,0.65,0.4036697247706422,0.8979591836734694,0.5569620253164557,2701240,109,65,90.0872778450343
0.35,0.795,0.5526315789473685,0.8571428571428571,0.672,2598690,76,34,86.66720027213879
0.4,0.84,0.6307692307692307,0.8367346938775511,0.7192982456140351,2594070,65,24,86.51312169206295
0.45,0.84,0.6349206349206349,0.8163265306122449,0.7142857142857143,2509970,63,23,83.70835792921056
0.5,0.815,0.6111111111111112,0.673469387755102,0.6407766990291263,2085820,54,21,69.56281036662031
0.55,0.81,0.6170212765957447,0.5918367346938775,0.6041666666666666,1885470,47,18,62.881069345366136
0.6,0.775,0.5666666666666667,0.3469387755102041,0.43037974683544306,1092570,30,13,36.43758316741538
0.65,0.74,0.4117647058823529,0.14285714285714285,0.21212121212121213,463540,17,10,15.459217534275815
0.7,0.755,0.5,0.04081632653061224,0.07547169811320754,152040,4,2,5.070585998859419
0.75,0.755,0.0,0.0,0.0,0,0,0,0.0
0.8,0.755,0.0,0.0,0.0,0,0,0,0.0
